OBJECTID,Wetland__1,SEQNUM,CFCA_EMT_I,Physiograp,Wetland_Ty,Hydrologic,Edge_Ref_1,Urban_Dens,ACRES_COMB,XCOORD_UTM,YCOORD_UTM,Column_,ORIG_FID
76,1,214167.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,2.009773217592878,424300.4375000,3110107.5000000,307.0000000,76
77,1,109827.000000000000000,SJ-LF,Ridge,1F,No,86.760000000000005,Moderate,3.167104325151958,424316.8437500,3163805.7500000,307.0000000,77
78,1,109087.000000000000000,SJ-LF,Ridge,1F,No,86.760000000000005,Moderate,8.753886840087430,424285.0625000,3164315.7500000,307.0000000,78
79,1,108347.000000000000000,SJ-LF,Ridge,1F,No,86.760000000000005,Moderate,2.741710537429675,424181.0312500,3164454.0000000,307.0000000,79
80,1,219348.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,1.789902661546341,424496.5000000,3107606.2500000,308.0000000,80
81,1,218608.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,31.446497912126592,424634.3125000,3107857.2500000,308.0000000,81
82,1,217868.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,22.646539428392749,424591.5937500,3108178.7500000,308.0000000,82
83,1,217128.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,10.502810157180370,424539.9687500,3108527.0000000,308.0000000,83
84,1,214908.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,4.685709078788554,424739.3125000,3109883.0000000,308.0000000,84
85,1,214168.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,11.391747317185786,424755.8437500,3110117.2500000,308.0000000,85
86,1,213428.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,3.637876324699987,424782.7187500,3110377.2500000,308.0000000,86
87,1,109828.000000000000000,SJ-LF,Ridge,1F,No,86.760000000000005,Moderate,0.092803246861735,424457.8125000,3163998.5000000,308.0000000,87
88,1,109088.000000000000000,SJ-LF,Ridge,1F,No,86.760000000000005,Moderate,0.032675299448607,424457.1875000,3164049.0000000,308.0000000,88
89,1,218609.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,11.652349734699659,424926.4687500,3107906.0000000,309.0000000,89
90,1,217869.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,6.812205785751475,424966.1562500,3108101.7500000,309.0000000,90
91,1,215649.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.039761445280156,425201.6875000,3109380.0000000,309.0000000,91
92,1,214909.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,9.425883375365860,424972.1562500,3109826.5000000,309.0000000,92
93,1,214169.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,8.298061053505572,424884.2500000,3110148.7500000,309.0000000,93
94,1,213429.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,6.177330660370577,424926.5000000,3110389.2500000,309.0000000,94
95,1,141649.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,4.675899292301939,425102.5625000,3147610.7500000,309.0000000,95
96,1,140909.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,12.095395391718419,425097.3437500,3147750.0000000,309.0000000,96
97,1,217870.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,3.587842493738468,425436.9375000,3108339.5000000,310.0000000,97
98,1,217130.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,2.884899788256248,425507.8750000,3108544.5000000,310.0000000,98
99,1,216390.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.318354225597296,425555.1562500,3108992.7500000,310.0000000,99
100,1,215650.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.539877753865302,425425.1875000,3109270.2500000,310.0000000,100
101,1,141650.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,1.371429935256348,425256.1875000,3147615.7500000,310.0000000,101
102,1,140910.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,21.774860326620626,425385.5937500,3147885.7500000,310.0000000,102
103,1,140170.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,2.825893171637391,425504.4375000,3148096.7500000,310.0000000,103
104,1,139430.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,0.064285965215586,425590.3750000,3148420.0000000,310.0000000,104
105,1,137950.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,0.870127463257399,425530.1250000,3149535.0000000,310.0000000,105
106,1,137210.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,13.245342974292887,425522.9062500,3149753.5000000,310.0000000,106
107,1,136470.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,20.736481341241653,425423.2812500,3150097.7500000,310.0000000,107
108,1,135730.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,1.001120300369947,425558.7500000,3150351.5000000,310.0000000,108
109,1,216391.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.185453887444711,425604.7187500,3108964.5000000,311.0000000,109
110,1,140911.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,8.471680000866188,425703.3125000,3147910.7500000,311.0000000,110
111,1,140171.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,10.977663773815982,425679.1562500,3148224.0000000,311.0000000,111
112,1,139431.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,5.228124895572273,425880.0625000,3148620.2500000,311.0000000,112
113,1,138691.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,5.744554722627910,425935.0625000,3148945.0000000,311.0000000,113
114,1,137951.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,14.583359541268516,425887.3750000,3149408.7500000,311.0000000,114
115,1,137211.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,35.259918774072425,425788.1562500,3149746.5000000,311.0000000,115
116,1,136471.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,33.245747247415352,425775.9062500,3150128.0000000,311.0000000,116
117,1,135731.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,28.506561915417752,425823.1250000,3150491.2500000,311.0000000,117
118,1,134991.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,17.343668871753657,425880.0000000,3150859.0000000,311.0000000,118
119,1,134251.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,2.550645672524303,425944.2187500,3151328.5000000,311.0000000,119
120,1,133511.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,4.085060459429517,425941.8125000,3151564.5000000,311.0000000,120
121,1,132771.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,0.206493699367176,425968.6875000,3151859.2500000,311.0000000,121
122,1,139432.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,14.903537059707784,426163.5000000,3148698.7500000,312.0000000,122
123,1,138692.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,20.461278414374164,426149.4062500,3149046.0000000,312.0000000,123
124,1,137952.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,26.934888203367976,426136.9687500,3149331.5000000,312.0000000,124
